mokp
c;ndim;m;n;i;nd;comp;time;maxnd
varchar;int;int;int;int;int;int;float;int
A;1;2;60;2;43;14057638;0.254;2352
A;1;2;60;4;63;17383252;0.308;2742
A;2;2;60;2;43;805117;0.234;2311
A;1;2;60;3;75;45242741;0.707;3447
A;2;2;80;8;181;7560118;13.335;16157
A;2;2;100;2;108;10756139;16.772;15218
A;1;2;80;8;183;651813400;22.578;16337
A;2;2;80;7;154;10529250;22.734;19578
A;2;2;120;2;164;25753634;76.549;30915
B;2;2;300;2;16;31354315;60.918;17790
A;2;2;120;5;276;35178018;212.053;40183
A;1;2;120;3;167;5183587250;268.808;38095
B;2;2;300;10;26;61712323;138.407;39754
A;1;2;120;6;249;10769368730;584.860;45889
C;1;2;60;3;315;1222109209;43.553;18892
C;1;2;60;10;195;716983421;22.934;16316
B;2;2;400;9;46;148865700;525.967;53379
C;2;2;80;5;277;17144945;55.450;28885
B;2;2;500;3;48;221311872;1113.024;63412
C;2;2;80;7;516;46138843;841.197;70272
D;1;2;30;3;372;687078835;25.786;19570
D;2;2;30;3;358;4087784;11.786;19256
D;1;2;30;4;224;344917216;11.180;16766
D;2;2;30;4;218;2954528;4.230;16293
D;1;2;30;5;275;299633558;9.628;14296
D;1;2;30;6;314;820952167;32.834;21786
D;1;2;30;8;291;632139131;23.508;19822
D;2;2;30;9;271;3317384;8.841;18009
D;1;2;30;10;175;106841755;2.705;8666
B;2;2;500;2;40;349643781;2261.316;101935
D;1;2;40;1;457;2509139306;122.868;34020
D;2;2;40;2;428;12794774;114.752;41862
D;2;2;40;3;582;18234562;294.711;60089
D;1;2;40;4;474;4197135592;298.846;49348
C;1;2;100;8;376;15234351895;1392.148;60229
D;1;2;40;5;310;2970356664;209.405;40501
D;1;2;40;8;628;8337470188;735.261;67728
C;2;2;100;2;522;53630569;911.093;73626
C;1;2;100;4;420;14756872507;1225.722;67199
D;2;2;50;7;483;33431193;890.961;80622
A;1;2;120;7;329;30769836658;2963.917;81151
A;3;3;60;5;1406;17894146;39.037;42094
D;2;2;50;9;542;42048465;1585.816;106301
