summary2
classe;np;n;nnodesb;compb;timeb;maxndb;hvb;time0;nsol0;hv0;comp0;time2;nsol2;hv2;comp2
string;int;int;float;float;float;float;float;float;float;float;float;float;float;float;float
A;2;40;38.2;249669.5;0.1292;1201.7;262270000.0;8.7468;28.6;259620000.0;241910159.5;14.1392;28.6;259620000.0;110719218.2
A;2;60;69.1;1622592.3;2.1652;4402.6;578330000.0;9.1929;38.4;566740000.0;244752721.1;14.6992;38.4;566740000.0;95160873.6
A;2;80;125.8;6641120.1;24.508;13039.2;1018480000.0;9.6359;55.9;988080000.0;248314636.4;15.0837;55.9;988080000.0;78832555.4
A;2;100;178.0;18578532.5;158.8364;27063.6;1598600000.0;9.9896;74.0;1542100000.0;248088874.1;15.5373;74.0;1542100000.0;72847655.9
A;2;120;244.0;44168373.9;953.2908;52241.5;2326900000.0;10.2686;85.2;2237900000.0;247712174.4;16.1208;85.2;2237900000.0;64859610.8
B;2;100;5.75;342075.5;0.265;814.0;1805000000.0;10.062;3.75;1805500000.0;245919061.25;33.333;3.75;1805500000.0;201088729.5
B;2;200;8.6;5590255.7;11.7084;5064.6;7466400000.0;12.2512;5.9;7464700000.0;267410208.9;37.3732;5.9;7464700000.0;154656043.4
B;2;300;21.5;36350203.3;165.1097;18141.8;16782000000.0;14.9828;10.1;16762000000.0;292226976.4;40.705;10.1;16762000000.0;124293620.7
B;2;400;32.7;143790816.6;1140.1543;50953.6;30129000000.0;16.3182;10.9;30076000000.0;296274765.9;43.3464;10.9;30076000000.0;112383103.3
B;2;500;39.5;188526062.0;1718.239;58398.0;49160000000.0;17.8805;12.0;49000000000.0;301575608.0;45.4005;12.0;49000000000.0;93459218.5
C;2;20;46.4;27920.0;0.0083;294.3;60459000.0;9.034;46.4;60403000.0;243610163.8;7.3235;46.4;60403000.0;64869688.8
C;2;40;106.3;856435.7;0.8835;3493.4;248250000.0;8.9847;66.5;240380000.0;247106741.2;10.4511;66.5;240380000.0;60547019.0
C;2;60;232.6;5794009.1;24.602;13870.4;560720000.0;9.3454;126.0;536280000.0;246825273.1;11.956;126.0;536280000.0;51604730.2
C;2;80;374.7;26374609.0;590.0299;44286.4;993340000.0;9.6855;173.2;933730000.0;247664669.5;13.11;173.2;933730000.0;51510252.5
C;2;100;542.1;67701701.1;3897.0001;91288.5;1556600000.0;10.8971;202.2;1445400000.0;248606045.1;13.6342;202.2;1445400000.0;49522190.1
D;2;20;170.7;308086.7;0.3297;2934.5;45046000.0;8.962;166.5;44999000.0;254630751.6;3.6163;166.5;44999000.0;55960956.0
D;2;30;262.0;3048339.0;15.7722;15637.7;103916000.0;9.5667;192.0;101986000.0;263852615.8;4.5906;192.0;101986000.0;57329096.5
D;2;40;467.9;14151575.3;379.7329;47992.1;185510000.0;9.8418;296.0;176940000.0;261087648.3;5.1865;296.0;176940000.0;59095453.0
D;2;50;559.9;43283478.1;3411.0463;110514.1;290330000.0;9.6802;330.1;272190000.0;262601433.4;5.492;330.1;272190000.0;60713406.4
